Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Status Category,Status Category Changed
Database Migration Strategy,SCRUM-35,10194,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:35 AM,24/Dec/25 10:40 AM,,24/Dec/25 10:40 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:09,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 10:40 AM
preorder to order size transfer fix,SCRUM-34,10193,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:35 AM,24/Dec/25 10:40 AM,,24/Dec/25 10:40 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:0i,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 10:40 AM
User/id/ ti get name,SCRUM-33,10192,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:35 AM,24/Dec/25 10:40 AM,,24/Dec/25 10:40 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:1,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 10:40 AM
Priority column and APi,SCRUM-32,10191,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:34 AM,24/Dec/25 10:39 AM,,24/Dec/25 10:39 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:2i,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 10:39 AM
Fix Calculation logic mismatch,SCRUM-31,10190,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:34 AM,24/Dec/25 10:39 AM,,24/Dec/25 10:39 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:3,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 10:39 AM
Excel gemini process,SCRUM-30,10189,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:34 AM,24/Dec/25 10:39 AM,24/Dec/25 10:39 AM,24/Dec/25 10:39 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:2,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 10:39 AM
Customer should not auto create,SCRUM-29,10188,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,24/Dec/25 10:34 AM,24/Dec/25 10:39 AM,,24/Dec/25 10:39 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:d,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 10:39 AM
Whatsapp Media Download and Upload process. Should we employ a worker or not?,SCRUM-28,10187,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,24/Dec/25 10:14 AM,26/Dec/25 9:57 AM,,26/Dec/25 9:57 AM,,0,,,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,,0|i0000x:i,SCRUM Sprint 0,,,,,,,Done,26/Dec/25 9:57 AM
Webhook and workers decision,SCRUM-27,10154,Task,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,23/Dec/25 4:29 PM,30/Dec/25 10:18 AM,,30/Dec/25 10:18 AM,,0,,,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,,0|i0002n:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:18 AM
Tally Invoice Number format,SCRUM-26,10153,Task,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,23/Dec/25 4:29 PM,24/Dec/25 3:12 PM,26/Dec/25 11:49 AM,24/Dec/25 3:12 PM,,0,"Tally Invoice Number Format - GST/FY/XXXX
FY - Financial Year - April 2025 to March 2026 will be - GST/25-26/XXXX",,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,,0|i0002f:,SCRUM Sprint 0,,,,,,,Done,24/Dec/25 3:12 PM
Whatsapp New Number registration,SCRUM-25,10152,Task,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,23/Dec/25 4:29 PM,30/Dec/25 9:44 AM,,30/Dec/25 9:44 AM,,0,,,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,,0|i0007v:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 9:44 AM
Final Master List with Unique SKU Code - Resent to Rishabh for few more changes,SCRUM-24,10151,Task,In Progress,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,23/Dec/25 4:29 PM,24/Dec/25 4:05 PM,,,,0,,,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,24/Dec/25 11:19 AM;ug:32cfc5b9-cb7d-4acc-aded-98a03b6f4565;Master_list_pending (839021b5-2e9f-43bd-b99f-2aafe951e764).xlsx;https://ascriptiontechnologies.atlassian.net/rest/api/3/attachment/content/10068,,,0|i0001z:,SCRUM Sprint 0,,,,,,,In Progress,23/Dec/25 4:29 PM
Customer ID Format?,SCRUM-23,10150,Task,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,23/Dec/25 4:28 PM,26/Dec/25 11:35 AM,26/Dec/25 11:33 AM,26/Dec/25 11:33 AM,,0,"Updated to use CUST0001 format (4 digits)
Sort by numeric value (not alphabetically) using cast(func.replace(...), Integer)
Auto-expand to 5 digits after CUST9999 → CUST10000",,Rahul Varma,,,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,,,,,,,,,,,,,,0|i0000x:9,SCRUM Sprint 0,,,,,,,Done,26/Dec/25 11:33 AM
New Order ( Manual and Upload ),SCRUM-22,10149,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,23/Dec/25 3:45 PM,29/Dec/25 10:35 AM,,29/Dec/25 10:35 AM,,0,,,Nandan,,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,24/Dec/25 11:17 AM;ug:32cfc5b9-cb7d-4acc-aded-98a03b6f4565;New Order document.pdf;https://ascriptiontechnologies.atlassian.net/rest/api/3/attachment/content/10067,,,0|i0001h:,SCRUM Sprint 0,,,,,24/Dec/25 2:49 PM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[https://docs.google.com/document/d/1I5ZBsX5sUWuQQ34h8mANNe87DJxLo7i-y6aSsGmmSZw/edit?usp=sharing|https://docs.google.com/document/d/1I5ZBsX5sUWuQQ34h8mANNe87DJxLo7i-y6aSsGmmSZw/edit?usp=sharing],,Done,29/Dec/25 10:35 AM
New order ( manual and upload),SCRUM-21,10116,Feature,Idea,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,Nandan,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,22/Dec/25 6:13 PM,22/Dec/25 6:13 PM,,,,0,,,Nandan,,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,,,,,,,,,,,,,,0|i0001j:,,,,,,,,To Do,22/Dec/25 6:13 PM
Backend for Whatsapp Integration,SCRUM-20,10083,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,20/Dec/25 4:48 PM,20/Dec/25 4:48 PM,,20/Dec/25 4:48 PM,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i00010:r,SCRUM Sprint 0,,,,,,,Done,20/Dec/25 4:48 PM
Meta Whatsapp Configuration,SCRUM-19,10082,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,20/Dec/25 4:47 PM,20/Dec/25 4:47 PM,,20/Dec/25 4:47 PM,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i00010:9,SCRUM Sprint 0,,,,,,,Done,20/Dec/25 4:47 PM
Meta Whatsapp Integration R&D,SCRUM-18,10081,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,20/Dec/25 4:46 PM,20/Dec/25 4:48 PM,,20/Dec/25 4:46 PM,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i00010:4,SCRUM Sprint 0,,,,,,,Done,20/Dec/25 4:46 PM
Order View Page in Frontend,SCRUM-17,10080,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,20/Dec/25 4:42 PM,30/Dec/25 10:08 AM,,30/Dec/25 10:08 AM,,0,,,"525_ AN,AND 'GOUD'",,,61ab0edec15977006a0401ae,,,,,,,,,,,,,,0|i0001f:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:08 AM
Customer and master list view with pagination and optimization,SCRUM-15,10078,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,20/Dec/25 2:55 PM,22/Dec/25 10:21 AM,,22/Dec/25 10:21 AM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:i,SCRUM Sprint 0,,,,,,,Done,22/Dec/25 10:21 AM
Order review page in frontend,SCRUM-14,10077,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,High,Done,"525_ AN,AND 'GOUD'",61ab0edec15977006a0401ae,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,20/Dec/25 2:51 PM,30/Dec/25 10:08 AM,20/Dec/25 2:52 PM,30/Dec/25 10:08 AM,,0,"* Complete order review page
* soft deletion
* order creation and edit functionality
* auto calculation logic",,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0001b:,SCRUM Sprint 0,,,,,,,Done,30/Dec/25 10:08 AM
operator tables in frontend,SCRUM-13,10076,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vathan,712020:26331195-b142-4e76-92ac-0333e0e1fda4,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,20/Dec/25 2:51 PM,23/Dec/25 4:33 PM,,20/Dec/25 2:54 PM,,0,,,Vathan,Vidhya sagar,,712020:26331195-b142-4e76-92ac-0333e0e1fda4,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,23/Dec/25 4:33 PM;ug:0026644c-d492-48fb-b423-82cb82f87a83;ORDER_PAGES_DOCUMENTATION.md.pdf;https://ascriptiontechnologies.atlassian.net/rest/api/3/attachment/content/10033,,,0|i00011:,SCRUM Sprint 0,,,,,"23/Dec/25 4:33 PM;712020:26331195-b142-4e76-92ac-0333e0e1fda4;[^ORDER_PAGES_DOCUMENTATION.md.pdf]

",,Done,20/Dec/25 2:54 PM
MVP of quantity conversion modal,SCRUM-12,10043,Task,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,16/Dec/25 10:16 AM,20/Dec/25 2:50 PM,,20/Dec/25 2:50 PM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i0000y:,SCRUM Sprint 0,,,,,,,Done,20/Dec/25 2:50 PM
POA of quantity converstion,SCRUM-6,10005,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,15/Dec/25 3:59 PM,20/Dec/25 2:50 PM,16/Dec/25 12:00 PM,20/Dec/25 2:50 PM,,0,,,Vidhya sagar,,,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,,,,,0|i00010:,SCRUM Sprint 0,,,,,"15/Dec/25 6:16 PM;712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d;[https://www.notion.so/Quantity-241c4cc9a3c180d69620d1971383d35e?source=copy_link|https://www.notion.so/Quantity-241c4cc9a3c180d69620d1971383d35e?source=copy_link|smart-link] 

link for docs","16/Dec/25 12:00 PM;712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d;{noformat}curl -X 'POST' \
  'http://127.0.0.1:8000/api/master_list' \
  -H 'accept: application/json' \
  -H 'Content-Type: application/json' \
  -d '{
  ""sku_name"": ""string"",
  ""brand"": ""string"",
  ""hsn"": ""string"",
  ""category"": ""string"",
  ""size"": ""string"",
  ""quantity_type"": ""string"",
  ""aliases"": [],
  ""default_rate"": ""string"",
  ""rate_cash"": ""string"",
  ""rate_level_1"": ""string"",
  ""rate_level_2"": ""string"",
  ""rate_level_3"": ""string"",
  ""gst_percent"": ""string"",
  ""current_stock"": ""string"",
  ""uom"": ""string"",
  ""isactive"": true,
  ""status"": ""Active"",
  ""sku_code"": ""string""
}'{noformat}",Done,20/Dec/25 2:50 PM
Split the quantity types in masterlist - This is an edge case and is ignored as suggested by Rishabh,SCRUM-5,10004,Feature,Done,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,Medium,Done,Rahul Varma,712020:7c1bbce9-f7cc-42c9-9d64-87d5554d6c81,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,Vidhya sagar,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,15/Dec/25 3:57 PM,24/Dec/25 3:13 PM,20/Dec/25 2:58 PM,24/Dec/25 3:13 PM,,0,,,Nandan,Vidhya sagar,,712020:922e0a12-4d1a-458b-a17a-cdcf5380191e,712020:19be3ef8-4d83-4aa3-aee1-6c1b5c31dd7d,,,,,,,,,,15/Dec/25 6:15 PM;ug:32cfc5b9-cb7d-4acc-aded-98a03b6f4565;Copy of master_list_db(new)(1).xlsx;https://ascriptiontechnologies.atlassian.net/rest/api/3/attachment/content/10000,,,0|i0000x:,SCRUM Sprint 0,,,,,"15/Dec/25 6:15 PM;712020:922e0a12-4d1a-458b-a17a-cdcf5380191e;[^Copy of master_list_db(new)(1).xlsx]

",,Done,24/Dec/25 3:13 PM
Task 3,SCRUM-3,10002,Feature,To Do,SCRUM,Wholesale On Wheels,software,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Your first project,,,,,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,Ascription Technologies,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,15/Dec/25 3:50 PM,15/Dec/25 3:50 PM,,,,0,,,Ascription Technologies,,,712020:eb769461-ebd7-4f5d-9335-a4dcc17a003b,,,,,,,,,,,,,,0|i0000f:,,,,,,,,In Progress,15/Dec/25 3:50 PM
